class;question
NUM;How many other Guests are there of the television episodes whose Guests is Brian d'Arcy James ?
RES;Who is the writer of He's a Pirate ?
RES;Which movies have their music composed by someone that signed up with RCA Records?
BOOL;Was the cover of The adventures of Tom Sawyer designed by Mark Twain?
RES;What games are played at institutions affiliated with the international association of universities?
RES;What is the ideology of Palang Dharma Party ?
RES;Who is known for are War of 1812 and Battle of the Thames?
RES;Which philosophy journal has compiler as Stephen Law ?
RES;Which military conflict took place in Israel and had commander as Jaber Al-Ahmad Al-Sabah?
RES;Who served a vice president buried in United First Parish Church?
RES;Where is the fictional character from, whose last appearance was in the Avengers, 1998?
RES;Which idelogy of the Palang Dharma Party is also the  faith of Miao people ?
RES;List the movies produced by Michael Deeley ?
RES;Where does Dennis DeConcini and Scott Berkun both live?
RES;Where did Louis chevrolet die ?
BOOL;Is Bacillus belong to the domain Bacteria?
RES;What is the affiliation of Lumbini Bauddha University ?
RES;What is the name of the characters created by Frank Miller?
NUM;Count the total number of software whose programming language is C++ and operating system is Microsoft Windows?
NUM;What is the total number of politicians whose predecessor's deputy is Jenny Macklin?
NUM;How many managers have managed Middlesbrough FC?
RES;Among which basket ball team having arena as The Palace of Auburn hills has president as Stan Van Gundy ?
NUM;Give me a count of bridges located in California ?
RES;What are the sports played by the universities who also plays taekwondo ?
RES;Who all are buried in Arlington national cementary?
RES;Name the office holder whose spouse is Dolley Madison and belongs to Militia branch ?
RES;To which country do the players of Waitakere United belong?
NUM;How many different genres led to other genres where drums are important?
BOOL;Is Trevor Peacock the narrator of Fred Claus?
RES;Which river's mouth location is Laptev Sea and also Arctic Ocean?
RES;List all the bands which have members of the band Guy in them?
RES;List the opponents of the relatives of Thomas Helwys?
RES;Gamini Seneviratne and Katyayana are two followers of which religion?
RES;Who are the predecessors of John Randolph of Roanoke?
BOOL;Was A Jitney Elopement edited by Charlie Chaplin?
RES;What team did J P Paris was former team of Bert McCaffrey play for?
RES;What is the river that falls into North Sea and Thames Estuary?
NUM;How many companies were founded in Dallas?
RES;Name the ones who debuted in the San Francisco 49ers.
RES;Which county seat of the King County, Washington and PLACE OF DEATH of the Phil Lumpkin ?
RES;Who all have appointed governess born in Magnolia Plantation gardens?
RES;Humes High School is alma mater to which person?
RES;Which range of mountains are there in canton of Fribourg?
RES;Which species' members are there in the animal kingdom?
BOOL;Was Henry Knox a major general?
RES;What company made the front row and distributed big top ballet?
RES;What is the nation of the Major All Stars Season 1 and Pioneer Corporation ?
RES;Which HBO's television series was produced by Erik Bork?
RES;List all the record label distributed by the distributor of Zune ?
RES;What made Jon Speelman and Eric Schiller famous?
RES;Which stadium is owned by the team whose manager is Dimitris Terezopoulos?
RES;Name the television show which was developed by Brian Graden and distributed by Comedy Central?
NUM;From how many countries did the aeroplanes designed by Alexander Lippisch originate?
RES;Fairfield, Connecticut is hometown to which persons?
BOOL;Do the White Plains Road lie in the Bronx county?
RES;Which fictional character portrayed by Roger barton has Padm Amidala as family ?
RES;Name presidents of the schools which have queen noor of Jordan as one of them ?
NUM;How many bands are signed up with Kobalt Label Services?
BOOL;Was 12th Field Artillery Regiment garrisoned at colorado?
RES;Name the office holder who has a child named Lori Black and resting place is Alta Mesa Memorial Park?
RES;What is the area of Tar Heel Sports Network ?
RES;Which office holder's  military branch is Continental Army and vice president is John Adams?
RES;What are the television shows which are in NTSC and 5.1 surround sound?
RES;What nation is the motherland of Ricardo Alfonso Cerna  where Apostolic Vicariate of El Petn is located?
RES;What are some games availible on nintendo's virtual console?
RES;Name the television program voiced by Isaac Hayes and aired on Comedy Central?
RES;Chestnut colored horses have won which races?
RES;Where did the film director of Kala Pani die?
RES;What show had NTSC format and theme music composed by  Ron Grainer?
RES;Who has fought in the conflicts around the Mississippi river?
RES;Which leader of united states house representatives election was married to Dolley Madison ?
RES;To which county of New York city does the Tremount Avenue street belong?
RES;What are the death place of the models whose hair color was Red?
RES;To which region does the Miluk language belong?
RES;What is the Ceremonial County of Port of Tilbury ?
RES;What is the war in which both K Fordice and P Fitzwallace fight?
RES;Name the part of Liverpool city region >
RES;What is the television show whose sculptor is C. E. Webber and composed by Murray Gold?
RES;Who created the world series of Poker?
RES;What are the source of the streams whose one of the source is Calera, Oklahoma?
RES;What is the game platform of Google Cloud Connect ?
RES;Which fictional character's relatives were made by Ted Osborne?
RES;Who are the stars of the movies which are distributed by Artisan Entertainment ?
NUM;Count the different religions followed by Second Lieutenants in military.
RES;List softwares written in C++ and runs on Mac OS ?
RES;Name the river mouth of Moordener Kill ?
RES;Which partner of the Tim Mathieson is also the primeminister of the Mike Kelly (Australian politician) ?
RES;List the producer of the TV shows whose company is HBO.
RES;What is the television show whose company is Playtone and written by Erik Jendresen?
RES;Which ancient country had capital as Nicomedia and History of Trier?
RES;In which races did the horses of Mon Capitaine take part?
RES;Which TV show's writer is Erik Jendresen and distributor is HBO?
RES;What railway lines go through the stations maintained by Western Australian Public Transport Authority?
NUM;How many publisher have been founded by american citizens?
NUM;How many other region served are there of the companies which serves  Pacific Ocean ?
RES;Name the sitcoms whose network's owning company is Chris-Craft Industries?
NUM;How many countries surround the sea into which the Upper Neratva flow?
NUM;How many rivers end in the Indian Ocean?
RES;Name the home town of Rolando Gomez ?
RES;Who is owner of the soccer club which owns the Cobham Training Centre?
RES;What is the common genere of Abhijit Kunte and Kasparov ?
RES;List some things that Swedish people have become famous for?
BOOL;Is Esther Alder the mayor of Geneva?
RES;Which shows have voices from people signed up with ABC Records?
BOOL;Is National Archaeological Museum (Florence) the museum of Chimera of Arezzo?
RES;Cleopatra V of Egypt is father to which royalty?
RES;Which sucessor of George Madison is the sucessor of levi Lincoln, Sr. ?
RES;Give me some TV stations whose network's main language is American English?
RES;Who is the President of the United World College of Costa Rica and United World Colleges ?
NUM;How many artists' works are in Muse d'Orsay?
RES;Whose wife is a presenter at WWE?
RES;What are some cars which came before the ones on a GM B base?
NUM;Give me a count of everything owned by the network whose sister name is The CW?
RES;Whichd officer's final resting place is North Bend, ohio and belongs to Indiana Territory branch 
RES;What sporting goods companies are located in Herzogenaurach?
RES;Name the commander of Battle of the Thames ?
RES;Name the sports played by Fr. Agnel Multipurpose School and Junior College?
RES;What program is  presented by Brian Dunkleman and has artist as Simon Fuller?
RES;What are some districts in the Tendring borough?
RES;What is the base currency of the Benelux which can be used in Republic of Montenegro?
RES;What is the alma mater of Julian Leow Beng Kim?
BOOL;Is Eddie Bravo the trainer of Alan Jouban
NUM;How many awards have been given to the participants of the Lawrence Realization Stakes?
RES;What religion is followed by the commander of Defense Security Command?
RES;Who won the general elections in India in 2009, and had also won the AP elections in 2004 ?
RES;List the work  edited by  Mark Stevens and directed by Joel Schumacher?
RES;Name some local authorities of schools which have a mixed gender education system?
